Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DDD,3D Systems Corporation,18.9,2155172349,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd
MMM,3M Company,210.71,1.23605E+11,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,11.06,467342877,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,73.6,10855225728,n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,21.25,1983090120,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,4.6,99804829.2,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",6.08,442060396.2,n/a,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",7.63,187672630.3,n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,47.89,1678118087,n/a,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",54.46,3952614272,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,23.63,50373864659,n/a,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,73.36,1.28697E+11,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,94.58,1.4322E+11,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,21.12,1409758522,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf
AGD,Aberdeen Global Dynamic Dividend Fund,10.345,129825415.4,n/a,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd
AWP,Aberdeen Global Premier Properties Fund,6.06,517572183.1,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/awp
ACP,Aberdeen Income Credit Strategies Fund,14.23,186044044.6,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",8.39,112334314.1,n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq
AOD,Aberdeen Total Dynamic Dividend Fund,8.78,944669507.6,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/aod
ABM,ABM Industries Incorporated,32.25,2123720324,n/a,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,28.03,2284523820,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr
ACN,Accenture plc,170.2,1.08911E+11,n/a,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,11.3,1180716208,n/a,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",19,50922660,n/a,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,27.9,1698973792,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,157.2,6316456816,n/a,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,27.43,2050645542,n/a,2016,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",16.67,1685424184,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",19.916,577478261.6,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,7.35,856680955.2,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro
ADNT,Adient plc,39.31,3670445379,n/a,2016,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt
ADT,ADT Inc.,9.39,7199966272,n/a,2018,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,48.2,2888674200,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,168.33,12470098159,n/a,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",27.08,2398941918,n/a,2016,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",30.9,1759112095,n/a,2014,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/wms
ASIX,AdvanSix Inc.,33.95,1029739793,n/a,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix
AVK,Advent Claymore Convertible Securities and Income Fund,15.67,541010228.7,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/avk
ACM,AECOM,32.66,5251085382,n/a,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,1.43,58115803.46,n/a,2006,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/anw
AEB,Aegon NV,24.61,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb
AED,Aegon NV,25.71,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aed
AEG,Aegon NV,6.43,13144458429,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.61,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh
AER,Aercap Holdings N.V.,57.52,8537836652,n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer
HIVE,"Aerohive Networks, Inc.",4.12,227930999,n/a,2014,Technology,EDP Services,https://www.nasdaq.com/symbol/hive
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",33.99,2569644000,n/a,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ajrd
AET,Aetna Inc.,202.85,66413090000,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aet
AMG,"Affiliated Managers Group, Inc.",136.72,7305215931,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg
AFL,Aflac Incorporated,47.07,36140358144,n/a,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
MITT,"AG Mortgage Investment Trust, Inc.",18.18,513152516,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.5829,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",25.2501,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,60.79,4809627536,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",70.54,22486003845,n/a,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,34.2,8011541623,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,53.12,1862226884,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc
AL,Air Lease Corporation,45.88,4774573085,n/a,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al
APD,"Air Products and Chemicals, Inc.",167.05,36629470457,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,21.91,1713055435,n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/ayr
AKS,AK Steel Holding Corporation,4.9,1546006865,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks
ALP^Q,Alabama Power Company,24.91,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alp^q
ALG,"Alamo Group, Inc.",91.61,1074372215,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg
